file,original pragma version,compiled version,notes
AnyswapV6ERC20_1.sol,^0.8.2,0.8.10,
ERC1155Gateway.sol,^0.8.1,0.8.10,
AnyswapV6ERC20-comint.sol,^0.8.2,0.8.10,
AnyswapV6ERC20_2.sol,^0.8.2,0.8.10,
AnyswapV1ERC20.sol,^0.5.0,0.5.0,
AnyswapV6Router-simple.sol,^0.8.10,0.8.10,
AnyswapV1ERC20V3Compat-label.sol,0.8.1,0.8.1,
AnyswapV4Router.sol,>=0.8.0,0.8.10,
Erc20SwapAsset_1.sol,^0.5.0,0.5.0,
MultichainV7Router.sol,^0.8.10,0.8.10,
AnyswapV5Router_label.sol,>=0.8.2,0.8.10,
ERC677Gateway.sol,^0.8.1,0.8.10,
fKRW.sol,0.8.1,0.8.1,
AnyswapV3Router_1.sol,>=0.8.2,0.8.10,
AnyswapV6ERC20-XC20Wrapper.sol,^0.8.10,0.8.10,
BtcSwapAssetV2.sol,^0.5.0,0.5.0,
AnyswapV5CallProxy.sol,^0.8.6,0.8.10,
AnyswapV4ERC20_1.sol,0.8.2,0.8.2,
AnyswapV3Router.sol,>=0.8.2,0.8.10,
AnyswapV1Vault.sol,0.8.1,0.8.1,
MultichainV7Router_1.sol,^0.8.10,0.8.10,
AnyswapV3Router_2.sol,>=0.8.2,0.8.10,
Erc20SwapAsset.sol,^0.5.0,0.5.0,
fUSD.sol,0.8.1,0.8.1,
AnyswapV4CallProxy.sol,^0.8.6,0.8.10,
Address.sol,^0.8.1,0.8.10,
NFTRouter.sol,^0.8.6,0.8.10,
ERC721.sol,^0.8.1,0.8.10,
Migrations.sol,>=0.4.22 <0.8.0,0.5.0,
ComintWrapper.sol,^0.8.2,0.8.10,
AnyswapV6Router_1.sol,^0.8.2,0.8.10,
AnyswapV6ERC20.sol,^0.8.2,0.8.10,
AnyswapV1Pair.sol,=0.8.1,0.8.1,
AnyswapV6CallProxy.sol,^0.8.6,0.8.10,
AnyswapV6ERC20-permit.sol,^0.8.10,0.8.10,
AnyswapV6CallProxy-AllowCallback.sol,^0.8.6,0.8.10,
AnyswapV2ERC20.sol,0.8.1,0.8.1,
AnyswapV3ERC20.sol,0.8.1,0.8.1,
RouterMintBurnWrapper.sol,^0.8.10,0.8.10,
AnyswapV6Router.sol,>=0.8.2,0.8.10,
Administrable.sol,^0.8.0,0.8.10,
LtcSwapAsset.sol,^0.5.0,0.5.0,
AnyswapV4Router_1.sol,>=0.8.0,0.8.10,
AnyCallAppFallback.sol,^0.8.1,0.8.10,
AnyswapV6ERC20-mixpool.sol,^0.8.0,0.8.10,
ERC20MessageGateway.sol,^0.8.1,0.8.10,
AnyswapV5ERC20.sol,0.8.2,0.8.2,
ERC20Gateway.sol,^0.8.1,0.8.10,
AnyswapV4ERC20.sol,0.8.1,0.8.1,
AnyswapV6ERC20-Ontology.sol,^0.8.10,0.8.10,
AnyCallApp.sol,^0.8.1,0.8.10,
AnyswapV6Router-mixpool.sol,^0.8.0,0.8.10,
AnyswapV6ERC20-Cube.sol,^0.8.2,0.8.10,
AnyswapV6ERC20-conflux.sol,^0.8.2,0.8.10,
AnyswapV5ERC20_4.sol,0.8.2,0.8.2,
AnyswapV6RouterWithProof.sol,^0.8.10,0.8.10,
ERC721Gateway.sol,^0.8.1,0.8.1,
SushiswapV3PermitRouter02.sol,=0.8.1,0.8.1,
AnyswapV5ERC20_1.sol,^0.8.2,0.8.10,
AnyswapV5ERC20_3.sol,0.8.2,0.8.2,
AnyswapV6ERC20-NonEVM.sol,^0.8.2,0.8.10,
AnyswapV5ERC20_2.sol,0.8.2,0.8.2,
